experiment,total_requests,total_reads,total_writes,successful_reads,successful_writes,stale_reads,avg_read_latency_ms,avg_write_latency_ms,p95_read_latency_ms,p95_write_latency_ms
leaderless_10w_90r,300,271,29,271,29,0,0.36091881918819185,1212.7898965517243,0.8035,1217.746
leaderless_w5_r1_10w_90r,300,271,29,271,29,0,0.36091881918819185,1212.7898965517243,0.8035,1217.746
leaderless_w5_r1_1w_99r,300,296,4,296,4,0,0.2941824324324324,1212.9137500000002,0.57775,1213.3881000000001
leaderless_w5_r1_50w_50r,300,147,153,147,153,0,0.5681972789115647,1212.843594771242,0.9000999999999999,1214.9594
leaderless_w5_r1_90w_10r,300,23,277,23,277,0,0.7062608695652173,1213.1500397111913,0.9008,1214.5457999999999
lf_w1_r5_10w_90r,300,269,31,269,31,0,208.03137546468403,0.6049032258064516,209.46280000000002,0.948
lf_w1_r5_1w_99r,300,297,3,293,3,4,207.05059932659933,0.5286666666666667,209.113,0.6467
lf_w1_r5_50w_50r,300,150,150,150,150,0,208.45941333333334,0.5670333333333334,211.3706,0.9518499999999999
lf_w1_r5_90w_10r,300,41,259,41,259,0,208.5579268292683,0.29195366795366795,210.68,0.5922999999999999
lf_w3_r3_10w_90r,300,267,33,267,33,0,208.50305243445695,1213.2076666666667,209.9711,1215.336
lf_w3_r3_1w_99r,300,299,1,299,1,0,207.91058528428096,1212.841,209.5094,1212.841
lf_w3_r3_50w_50r,300,149,151,149,151,0,208.38322147651004,1212.9731258278146,210.276,1215.2435
lf_w3_r3_90w_10r,300,29,271,29,271,0,208.09393103448275,1213.098232472325,209.3614,1215.2085
lf_w5_r1_10w_90r,300,272,28,272,28,0,0.4874080882352941,1212.9519642857142,0.7694999999999999,1214.2905
lf_w5_r1_1w_99r,300,298,2,298,2,0,0.1709060402684564,1212.3635,0.4875999999999999,1213.03085
lf_w5_r1_50w_50r,300,143,157,143,157,0,0.6392727272727272,1213.2685477707007,0.9705,1214.8265999999999
lf_w5_r1_90w_10r,300,25,275,25,275,0,0.64792,1213.1478363636363,0.9272,1214.8363
